DNI,NAME,SURNAMES,CITY
08714737,Daniel,"Corredor Padrino",Madrid,08714737Z
03659238,Javier,"Nogues Algüacil",Madrid,03659238F
93726487,Fernando,"Alonso Díaz",Asturias,93726487S
01234567,Nombre1,Apellido1,Ciudad1,01234567L
12345678,Nombre2,Apellido2,Ciudad2,12345678Z
23456789,Nombre3,Apellido3,Ciudad3,23456789D
34567890,Nombre4,Apellido4,Ciudad4,34567890V
45678901,Nombre5,Apellido5,Ciudad5,45678901G
56789012,Nombre6,Apellido6,Ciudad6,56789012B
67890123,Nombre7,Apellido7,Ciudad7,67890123B
78901234,Nombre8,Apellido8,Ciudad8,78901234X
89012345,Nombre9,Apellido9,Ciudad9,89012345E
90123456,Nombre10,Apellido10,Ciudad10,90123456A
01234567,Nombre11,Apellido11,Ciudad11,01234567L
12345678,Nombre12,Apellido12,Ciudad12,12345678Z
23456789,Nombre13,Apellido13,Ciudad13,23456789D
34567890,Nombre14,Apellido14,Ciudad14,34567890V
45678901,Nombre15,Apellido15,Ciudad15,45678901G
X3562946,Nombre16,Apellido16,Ciudad16,X3562946Q
Y9265937,Nombre17,Apellido17,Ciudad17,Y9265937X
Z5429456,Nombre18,Apellido18,Ciudad18,Z5429456N
no,Nombre19,Apellido19,Ciudad19
